bus_id,name,country,long_type,capacity,longitude,latitude,type,category
4621,Wind FR 224,FR,wind,383.4000000000001,1.73584000000001,47.129951,WD,R
6163,Wind FR 225,FR,wind,10.0,-1.47216800000001,49.460984,WD,R
4881,Wind FR 226,FR,wind,14.0,3.85620100000001,47.938427,WD,R
6141,Wind FR 227,FR,wind,32.15,-3.82324200000001,48.370848,WD,R
5104,Wind FR 228,FR,wind,19.0,3.74633799999999,50.268277,WD,R
4959,Wind FR 229,FR,wind,2.8,3.537598,50.387508,WD,R
4664,Wind FR 230,FR,wind,38.195,4.79003900000001,44.472991,WD,R
7477,Wind FR 231,FR,wind,73.2,-0.90087900000001,47.15984,WD,R
4900,Wind FR 232,FR,wind,109.94999999999999,2.72460899999999,49.37522,WD,R
7021,Wind FR 233,FR,wind,100.793,-2.53893224256282,47.7078723647013,WD,R
4537,Wind FR 234,FR,wind,8.0,-0.109863000000011,47.212106,WD,R
4904,Wind FR 235,FR,wind,101.6,2.966309,49.674738,WD,R
4884,Wind FR 236,FR,wind,20.0,4.57031200000001,47.864774,WD,R
4946,Wind FR 237,FR,wind,8.0,2.823486,50.324423,WD,R
4573,Wind FR 238,FR,wind,61.400000000000006,2.658691,43.277205,WD,R
6158,Wind FR 239,FR,wind,12.0,-2.05444300000001,48.596592,WD,R
6132,Wind FR 240,FR,wind,18.9,-3.35082999999999,48.734455,WD,R
4833,Wind FR 241,FR,wind,18.8,1.098633,48.994636,WD,R
4927,Wind FR 242,FR,wind,3.0,1.70288099999999,50.715591,WD,R
7549,Wind FR 243,FR,wind,42.0,6.96533199999999,48.756189,WD,R
4816,Wind FR 244,FR,wind,41.875,2.01049800000001,48.056054,WD,R
4597,Wind FR 245,FR,wind,29.700000000000003,2.834473,44.024422,WD,R
4521,Wind FR 246,FR,wind,32.58,-0.472411999999992,48.719961,WD,R
4534,Wind FR 247,FR,wind,14.75,-0.0549320000000076,46.747389,WD,R
4919,Wind FR 248,FR,wind,45.3,1.109619,49.710273,WD,R
5117,Wind FR 249,FR,wind,20.0,4.88891599999999,48.092757,WD,R
4540,Wind FR 250,FR,wind,67.19999999999999,-1.021729,49.131408,WD,R
6135,Wind FR 251,FR,wind,78.3,-4.020996,48.019324,WD,R
5061,Wind FR 252,FR,wind,114.0,2.60376,50.331436,WD,R
4631,Wind FR 253,FR,wind,45.6,2.614746,46.324172,WD,R
7482,Wind FR 254,FR,wind,8.0,-0.395507999999999,46.240652,WD,R
4518,Wind FR 255,FR,wind,16.304,0.186768000000007,45.644768,WD,R
6148,Wind FR 256,FR,wind,16.6,-2.19726599999999,47.338823,WD,R
4674,Wind FR 257,FR,wind,12.0,4.17480499999999,46.004593,WD,R
6948,Wind FR 258,FR,wind,31.2,2.73559585738224,44.4573099491017,WD,R
6552,Wind FR 259,FR,wind,29.2,-3.273926,47.931066,WD,R
5053,Wind FR 260,FR,wind,10.0,3.72436500000001,48.085419,WD,R
5038,Wind FR 261,FR,wind,6.6,0.252685999999995,47.338823,WD,R
5102,Wind FR 262,FR,wind,99.0,2.746582,44.142798,WD,R
2642,Wind FR 263,FR,wind,20.0,6.624756,49.432413,WD,R
5046,Wind FR 264,FR,wind,423.35900000000004,2.40600600000001,49.703168,WD,R
7356,Wind FR 265,FR,wind,11.5,4.559326,43.826601,WD,R
5040,Wind FR 266,FR,wind,9.287999999999998,-0.318604000000007,49.167339,WD,R
5913,Wind FR 267,FR,wind,16.6,-0.219727000000001,47.872144,WD,R
4887,Wind FR 268,FR,wind,20.0,3.91113299999999,48.283193,WD,R
4929,Wind FR 269,FR,wind,13.9,1.83471699999999,50.903033,WD,R
4990,Wind FR 270,FR,wind,18.0,5.84472700000001,49.37522,WD,R
