bus_id1,bus_id2,voltage1,voltage2,is_transformer,r,x,fmax
2626,2627,220.0,380.0,true,2.0,55.0,1000.0
4045,4046,220.0,380.0,true,2.0,55.0,1000.0
3701,3702,220.0,380.0,true,2.0,55.0,1000.0
4329,4330,220.0,380.0,true,2.0,55.0,1000.0
2766,2767,220.0,380.0,true,2.0,55.0,1000.0
6222,6223,220.0,380.0,true,2.0,55.0,1000.0
5307,5308,220.0,380.0,true,2.0,55.0,1000.0
4694,4695,220.0,380.0,true,2.0,55.0,1000.0
5407,5408,220.0,380.0,true,2.0,55.0,1000.0
4501,4502,220.0,380.0,true,2.0,55.0,1000.0
5193,5194,220.0,380.0,true,2.0,55.0,1000.0
5078,5079,220.0,380.0,true,2.0,55.0,1000.0
2768,2769,220.0,380.0,true,2.0,55.0,1000.0
4448,4449,220.0,380.0,true,2.0,55.0,1000.0
3299,3300,220.0,380.0,true,2.0,55.0,1000.0
5059,5060,220.0,380.0,true,2.0,55.0,1000.0
4506,4507,220.0,380.0,true,2.0,55.0,1000.0
5430,5431,220.0,380.0,true,2.0,55.0,1000.0
1542,1543,220.0,380.0,true,2.0,55.0,1000.0
4413,4414,132.0,220.0,true,2.0,55.0,1000.0
5523,5524,220.0,380.0,true,2.0,55.0,1000.0
5248,5249,220.0,380.0,true,2.0,55.0,1000.0
2618,2619,220.0,380.0,true,2.0,55.0,1000.0
5336,5337,220.0,380.0,true,2.0,55.0,1000.0
2666,2667,220.0,380.0,true,2.0,55.0,1000.0
2650,2651,220.0,380.0,true,2.0,55.0,1000.0
5148,5149,220.0,380.0,true,2.0,55.0,1000.0
3326,3327,220.0,380.0,true,2.0,55.0,1000.0
3254,3255,220.0,380.0,true,2.0,55.0,1000.0
5262,5263,220.0,380.0,true,2.0,55.0,1000.0
3261,3262,220.0,380.0,true,2.0,55.0,1000.0
5846,5847,220.0,380.0,true,2.0,55.0,1000.0
3999,4000,220.0,380.0,true,2.0,55.0,1000.0
